student_id,province,district,school_name,period,attendance_rate,gpa,income_per_month,dropout_risk_flag,disability_flag,remote_area_flag,program_coverage_flag
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-03,77.7,2.71,6456,0,0,0,1
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-04,97.2,3.05,20022,0,0,0,0
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-05,92.1,3.12,10963,0,0,0,1
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-06,95.1,3.65,12210,0,0,0,1
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-07,79.7,2.75,8784,0,0,0,0
STU-00001,Bangkok,Bang Kapi,Urban Access Academy,2026-08,94.9,3.66,22163,0,0,0,1
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-03,80.4,2.07,5762,0,0,0,1
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-04,81.3,2.34,9035,0,0,0,1
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-05,75.9,2.12,4415,0,0,0,0
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-06,96.1,3.58,22793,0,0,0,1
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-07,97.9,2.96,27568,0,0,0,1
STU-00002,Bangkok,Phaya Thai,Bangkok Equity School,2026-08,97.5,2.92,13000,0,0,0,0
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-03,93.0,3.48,25644,0,0,0,0
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-04,76.0,2.44,8172,0,0,0,1
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-05,84.3,2.56,7669,0,0,0,1
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-06,84.7,2.13,9506,0,0,0,1
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-07,92.9,3.15,22345,0,0,0,0
STU-00003,Bangkok,Khlong Toei,Metro Bridge School,2026-08,77.4,2.11,11159,0,0,0,1
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-03,79.5,2.42,4682,0,0,0,1
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-04,97.0,2.93,22931,0,0,0,1
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-05,97.3,3.49,23008,0,0,0,0
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-06,76.0,2.28,5265,0,0,0,0
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-07,96.9,3.09,13988,0,0,0,1
STU-00004,Bangkok,Khlong Toei,Metro Bridge School,2026-08,96.2,3.65,23430,0,0,0,1
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-03,91.9,3.09,16903,0,1,0,1
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-04,92.7,3.58,18181,0,1,0,1
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-05,51.8,1.11,2053,0,1,0,0
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-06,62.0,1.69,5255,0,1,0,0
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-07,49.3,1.21,2331,1,1,0,1
STU-00005,Bangkok,Khlong Toei,Metro Bridge School,2026-08,63.9,2.11,3564,0,1,0,1
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-03,74.4,2.48,6974,0,0,0,0
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-04,91.6,3.71,21167,0,0,0,1
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-05,93.0,2.86,24398,0,0,0,1
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-06,78.5,2.23,5023,0,0,0,0
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-07,80.6,2.45,7468,0,0,0,1
STU-00006,Bangkok,Phaya Thai,Bangkok Equity School,2026-08,98.4,3.65,22126,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-03,96.7,3.47,15169,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-04,80.4,2.23,5591,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-05,94.2,2.92,21144,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-06,91.9,3.34,18513,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-07,97.8,3.15,16801,0,0,0,1
STU-00007,Bangkok,Bang Kapi,Bang Kapi City School,2026-08,76.3,2.17,6035,0,0,0,0
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-03,93.1,3.24,12286,0,0,0,0
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-04,85.6,2.57,9804,0,0,0,0
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-05,64.0,1.52,2659,0,0,0,1
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-06,76.8,2.16,9474,0,0,0,0
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-07,92.2,3.52,23122,0,0,0,1
STU-00008,Bangkok,Phaya Thai,Bangkok Equity School,2026-08,76.0,2.55,7427,0,0,0,1
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-03,69.1,1.53,2310,0,0,0,1
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-04,80.4,2.75,4648,0,0,0,1
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-05,91.8,3.27,22309,0,0,0,0
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-06,98.3,3.59,24480,0,0,0,0
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-07,97.0,3.09,14798,0,0,0,1
STU-00009,Bangkok,Bang Kapi,Bang Kapi City School,2026-08,86.3,2.67,11316,0,0,0,0
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-03,96.7,3.12,17849,1,0,0,1
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-04,70.5,2.51,11693,1,0,0,1
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-05,93.9,3.66,18406,1,0,0,1
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-06,91.5,3.23,23436,1,0,0,1
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-07,73.0,2.1,9855,1,0,0,1
STU-00010,Bangkok,Bang Kapi,Urban Access Academy,2026-08,82.4,2.3,4350,1,0,0,1
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-03,97.1,2.86,22786,0,0,0,1
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-04,77.0,2.75,10743,0,0,0,1
